timestamp,cpu_pct,mem_pct,net_in_mbps,is_anomaly
0,36.49,46.76,48.66,0
1,34.67,42.21,48.64,0
2,37.12,44.56,52.99,0
3,39.83,45.02,53.94,0
4,34.65,45.13,48.42,0
5,34.73,45.4,49.01,0
6,40.26,46.07,52.7,0
7,37.91,45.13,51.56,0
8,34.29,44.66,51.91,0
9,37.41,44.62,52.42,0
10,34.48,44.34,50.22,0
11,34.56,46.47,51.43,0
12,36.77,44.34,51.34,0
13,30.39,46.61,49.19,0
14,31.05,45.39,51.61,0
15,34.62,44.61,53.52,0
16,33.36,46.35,50.45,0
17,37.42,44.35,51.49,0
18,33.85,46.43,51.67,0
19,32.42,45.82,50.76,0
20,41.14,44.63,52.75,0
21,36.15,46.34,50.1,0
22,37.12,46.39,54.2,0
23,32.73,47.34,52.86,0
24,35.46,47.08,49.8,0
25,37.51,46.39,55.14,0
26,33.81,43.99,52.15,0
27,38.48,49.38,50.43,0
28,35.64,43.63,54.16,0
29,36.65,47.18,53.01,0
30,35.81,46.43,48.54,0
31,43.25,44.05,51.11,0
32,37.74,45.65,52.78,0
33,34.7,45.74,47.98,0
34,40.42,47.85,52.54,0
35,34.38,44.84,52.75,0
36,38.76,45.55,50.14,0
37,32.34,42.46,53.11,0
38,34.32,48.59,52.66,0
39,38.98,44.41,50.33,0
40,40.69,46.53,54.62,0
41,39.07,45.92,54.52,0
42,38.3,45.95,52.34,0
43,37.83,47.33,52.59,0
44,34.38,48.65,54.51,0
45,36.74,46.55,52.72,0
46,37.61,47.18,49.33,0
47,42.24,46.72,54.23,0
48,40.19,47.77,51.7,0
49,33.95,45.58,52.62,0
50,40.3,47.91,56.38,0
51,38.26,47.99,53.26,0
52,37.47,47.97,53.6,0
53,41.42,45.38,54.69,0
54,42.76,46.15,54.75,0
55,42.55,46.79,51.96,0
56,37.32,44.4,53.75,0
57,39.0,48.87,54.01,0
58,41.0,46.48,54.55,0
59,43.02,46.95,54.65,0
60,38.74,45.69,59.32,0
61,39.7,44.59,51.86,0
62,37.03,45.7,56.24,0
63,36.84,46.96,56.71,0
64,42.95,47.66,55.4,0
65,44.67,46.92,53.18,0
66,40.46,47.22,57.87,0
67,43.77,46.22,50.23,0
68,41.93,47.5,53.31,0
69,39.0,49.0,57.09,0
70,42.1,47.86,54.07,0
71,45.71,48.04,58.07,0
72,41.07,47.3,51.92,0
73,45.96,44.62,52.79,0
74,33.49,45.34,54.01,0
75,43.89,47.61,55.98,0
76,41.77,46.94,54.77,0
77,40.7,47.64,54.29,0
78,41.95,49.52,58.18,0
79,35.8,48.12,58.43,0
80,41.18,48.94,54.64,0
81,42.99,47.22,52.12,0
82,46.44,45.89,51.29,0
83,40.53,47.04,56.15,0
84,39.74,45.94,57.05,0
85,40.74,49.51,55.93,0
86,45.08,48.38,55.72,0
87,43.4,48.0,54.32,0
88,40.9,49.1,57.3,0
89,44.11,44.24,59.41,0
90,42.94,48.18,51.69,0
91,45.64,45.35,56.03,0
92,40.71,47.33,54.31,0
93,41.91,46.9,53.33,0
94,41.8,48.39,54.12,0
95,38.66,47.76,57.2,0
96,44.02,49.46,57.32,0
97,44.0,46.56,59.49,0
98,43.31,48.55,56.65,0
99,42.67,47.76,53.18,0
100,39.21,45.08,56.29,0
101,42.27,46.18,54.05,0
102,42.58,47.36,54.47,0
103,41.28,49.28,58.11,0
104,43.28,48.33,57.4,0
105,45.06,45.9,58.25,0
106,49.58,47.47,56.42,0
107,44.53,50.73,58.78,0
108,44.85,47.89,56.44,0
109,43.93,47.26,59.56,0
110,38.48,48.51,58.08,0
111,44.23,48.94,57.04,0
112,44.57,47.13,57.94,0
113,51.86,48.59,57.54,0
114,43.97,47.37,60.83,0
115,45.52,48.96,58.19,0
116,44.59,48.16,57.75,0
117,41.27,48.65,57.34,0
118,48.28,46.82,59.57,0
119,47.18,46.75,59.36,0
120,47.37,49.42,57.45,0
121,42.35,47.9,55.75,0
122,49.36,48.47,56.32,0
123,41.02,47.61,57.81,0
124,47.06,49.44,60.94,0
125,51.95,47.2,57.8,0
126,42.48,47.93,57.17,0
127,43.83,49.34,54.9,0
128,45.9,49.94,61.51,0
129,44.16,47.42,59.68,0
130,41.09,51.16,60.19,0
131,46.03,48.72,60.58,0
132,42.71,46.7,58.38,0
133,47.39,48.84,58.94,0
134,43.28,47.74,61.81,0
135,50.76,48.98,59.25,0
136,43.83,48.29,60.12,0
137,45.29,48.49,60.75,0
138,48.77,47.03,60.35,0
139,42.71,49.91,58.86,0
140,47.15,46.71,59.11,0
141,50.46,46.8,60.79,0
142,41.79,49.04,60.84,0
143,47.24,50.91,61.68,0
144,47.54,48.0,60.51,0
145,49.17,49.6,60.65,0
146,43.19,50.18,58.62,0
147,43.01,49.81,58.41,0
148,48.6,48.14,61.19,0
149,48.0,47.0,58.54,0
150,47.93,45.34,59.7,0
151,48.28,48.28,62.55,0
152,45.27,50.46,62.29,0
153,48.08,47.03,60.51,0
154,48.33,49.79,59.37,0
155,45.38,47.33,59.77,0
156,53.18,48.94,61.8,0
157,49.08,49.86,60.05,0
158,44.15,47.83,59.06,0
159,49.76,49.09,62.66,0
160,44.93,48.23,60.65,0
161,50.28,49.93,59.18,0
162,51.46,49.25,61.35,0
163,45.59,49.0,62.39,0
164,51.01,51.27,58.48,0
165,49.43,49.95,60.15,0
166,50.72,47.94,60.11,0
167,54.01,48.87,61.56,0
